Name,Age,Gender,Voice,Rating,Walking Behaviour,Tipping,Is Happy
Kaylie Stafford,33,Male,Raised,Bad,Rushed,Much,No
Hanna Rodriguez,33,Male,Normal,Bad,Slow,None,No
Carla Weaver,40,Female,Raised,Good,Normal,Much,Yes
Yurem Costa,24,Male,Raised,Bad,Rushed,Much,Yes
Brennen Davila,26,Female,Raised,Good,Rushed,None,No
Lilyana Key,26,Male,Normal,Good,Slow,Normal,Yes
Katelyn Morse,23,Male,Raised,Bad,Rushed,None,No
Alyvia Brewer,19,Male,Normal,Good,Normal,Much,Yes
Jamal Alvarez,50,Female,Raised,Bad,Normal,None,No
Hector Cole,29,Male,Normal,Bad,Rushed,Much,Yes
Kamari Mcbride,47,Female,Normal,Good,Normal,Much,Yes
Jayleen Carey,30,Female,Raised,Good,Rushed,None,No
Ashleigh Malone,30,Female,Raised,Bad,Rushed,None,No
Pierre Carson,35,Male,Raised,Bad,Rushed,None,No
Giana Zavala,26,Male,Normal,Good,Normal,Little,Yes
Darien Bradford,34,Male,Normal,Bad,Rushed,None,No
Jaylin Ewing,18,Female,Raised,Good,Slow,Much,Yes
Jax Combs,33,Male,Normal,Normal,Rushed,Much,Yes
Mariyah Mueller,29,Male,Normal,Good,Slow,Much,Yes
Marcos Tapia,22,Male,Raised,Normal,Slow,None,No
Sloane Dawson,35,Male,Normal,Good,Slow,Much,Yes
Beckett Hess,36,Female,Normal,Bad,Rushed,None,No
Brennen Zhang,37,Female,Raised,Bad,Rushed,None,No
Xzavier Dudley,32,Male,Raised,Bad,Rushed,None,No
Trevon Sanchez,17,Female,Normal,Normal,Slow,None,No
Jaylah Barajas,47,Male,Normal,Bad,Slow,Much,Yes
Layton Orr,49,Male,Normal,Good,Rushed,Much,Yes
Heidi Ellison,27,Female,Raised,Bad,Rushed,None,No
Lina Friedman,32,Male,Raised,Good,Slow,Much,Yes
Nathanial Summers,35,Female,Raised,Bad,Rushed,None,No
Immanuel Bright,21,Male,Normal,Bad,Normal,None,No
Dominique Perkins,23,Female,Normal,Bad,Rushed,None,No
Hana Horton,19,Male,Raised,Normal,Rushed,None,No
Kaliyah Juarez,21,Female,Normal,Bad,Rushed,Little,No
Angel Young,33,Male,Normal,Good,Rushed,Much,Yes
Conrad Huber,18,Female,Raised,Normal,Rushed,Much,No
Grady Zimmerman,40,Male,Normal,Good,Normal,Much,Yes
Malcolm Porter,32,Female,Raised,Bad,Rushed,None,No
Leyla Archer,36,Female,Raised,Good,Normal,None,No
Holden Elliott,38,Male,Normal,Normal,Normal,Much,Yes
Draven Liu,41,Male,Raised,Good,Slow,Much,Yes
Julio Acevedo,24,Female,Raised,Normal,Normal,Much,No
Jett Larsen,25,Male,Normal,Good,Normal,Little,Yes
Mackenzie Collins,32,Male,Raised,Good,Rushed,None,No
Amanda Knox,29,Female,Raised,Bad,Normal,Little,No
Sidney Stone,30,Male,Normal,Good,Normal,Much,Yes
Keaton Whitney,45,Female,Raised,Bad,Rushed,Much,No
Estrella Carroll,20,Female,Raised,Normal,Normal,Little,No
Kareem Hardy,31,Female,Normal,Bad,Rushed,None,No
Victoria Ramos,21,Male,Raised,Bad,Rushed,None,No
Rosa Brown,21,Male,Normal,Good,Normal,Much,Yes
Jocelynn Holt,22,Male,Raised,Normal,Slow,Much,No
Amira Pope,30,Male,Normal,Good,Normal,Normal,Yes
Trey Winters,35,Female,Raised,Good,Normal,Much,Yes
Randy Brown,28,Female,Normal,Bad,Slow,None,No
Amare Hester,23,Male,Raised,Normal,Slow,None,No
Cindy Hammond,27,Female,Normal,Good,Normal,Normal,Yes
Dalton Bradley,50,Female,Normal,Normal,Normal,Little,Yes
Eduardo Swanson,26,Male,Raised,Bad,Rushed,None,No
Jamiya Mann,46,Female,Normal,Good,Normal,Much,Yes
Jaqueline Oneill,21,Male,Normal,Good,Normal,Much,Yes
Mckenzie Howell,38,Male,Normal,Good,Normal,Much,Yes
Nyla Maddox,49,Female,Raised,Good,Slow,Much,Yes
Jair Baird,24,Female,Raised,Bad,Rushed,Little,No
Nigel Sanford,24,Male,Raised,Bad,Rushed,None,No
Jonah Miranda,18,Male,Raised,Good,Rushed,Much,Yes
Dayanara Pratt,21,Female,Raised,Good,Slow,Little,No
Mikayla Thomas,39,Male,Normal,Bad,Rushed,Much,Yes
Jaylin Riley,28,Male,Normal,Good,Normal,Much,Yes
Johanna Ingram,33,Male,Raised,Normal,Normal,Much,Yes
Bailey Sharp,27,Female,Raised,Bad,Normal,None,No
Killian Colon,48,Male,Normal,Good,Normal,Much,Yes
Tristin Kaufman,43,Female,Raised,Bad,Rushed,None,No
Audrina Cooper,41,Male,Normal,Bad,Rushed,None,No
Cristian Ayers,20,Female,Raised,Bad,Slow,None,No
Elisha Zamora,34,Female,Raised,Normal,Rushed,None,No
Trevin Harding,29,Female,Raised,Good,Rushed,Little,No
Ariella Anderson,33,Female,Raised,Bad,Slow,None,No
Oswaldo Moon,30,Male,Raised,Normal,Rushed,None,No
Monica Crane,34,Female,Normal,Good,Normal,Much,Yes
Jaydin Lloyd,39,Female,Raised,Good,Normal,Much,Yes
Case Spencer,30,Female,Raised,Normal,Slow,Little,No
Kirsten Snow,27,Male,Raised,Good,Rushed,Normal,Yes
Lexie Woods,42,Female,Normal,Normal,Normal,Much,Yes
Dillon Ponce,36,Female,Normal,Good,Normal,Normal,Yes
Gina Smith,42,Female,Normal,Good,Slow,Much,Yes
Averi Trujillo,46,Female,Normal,Normal,Rushed,Normal,Yes
Leila Matthews,28,Male,Normal,Bad,Rushed,Normal,Yes
Lukas Hess,47,Male,Raised,Good,Normal,Little,Yes
Zaire Edwards,19,Male,Raised,Normal,Rushed,None,No
Alexa Wiley,48,Female,Raised,Good,Slow,Much,Yes
Mohamed Valentine,17,Female,Raised,Normal,Slow,None,No
Siena Mclean,18,Female,Raised,Bad,Normal,None,No
Averie Stein,27,Male,Raised,Normal,Rushed,None,No
Jamiya Hampton,35,Male,Normal,Bad,Rushed,None,No
Harmony Reese,35,Female,Normal,Good,Rushed,None,No
Alexandria Webb,20,Male,Raised,Bad,Rushed,None,No
Julien Hill,30,Female,Normal,Bad,Rushed,Much,No
Lucia Fry,32,Male,Normal,Bad,Slow,Much,Yes
Aryanna Norton,23,Male,Raised,Bad,Rushed,None,No
India Petty,49,Female,Normal,Bad,Normal,Much,Yes
Kadin Osborne,22,Female,Raised,Bad,Rushed,None,No
Oscar Hansen,31,Male,Raised,Normal,Normal,Much,Yes
Jazmin Russo,28,Female,Normal,Good,Slow,Much,Yes
Laylah Ritter,18,Female,Raised,Good,Rushed,None,No
Kaitlynn Valencia,45,Male,Normal,Good,Normal,Normal,Yes
Elliot Friedman,29,Female,Raised,Bad,Normal,None,No
Hillary Ward,27,Male,Normal,Normal,Normal,Normal,Yes
Javion Raymond,33,Male,Normal,Bad,Rushed,None,No
Alyssa Fitzgerald,25,Female,Normal,Good,Normal,Much,Yes
Zachary Riggs,27,Female,Normal,Good,Normal,Much,Yes
Catherine Donaldson,44,Female,Raised,Good,Normal,Much,Yes
Marco Garrison,34,Male,Raised,Bad,Slow,None,No
Dillan Larsen,27,Male,Normal,Bad,Rushed,None,No
Nayeli Brooks,20,Male,Normal,Good,Slow,Much,Yes
Dario Jensen,21,Female,Raised,Bad,Rushed,None,No
Mauricio Coffey,27,Male,Raised,Bad,Normal,None,No
Max Townsend,20,Female,Raised,Bad,Rushed,None,No
Craig Delacruz,45,Male,Normal,Good,Normal,Much,Yes
Clarence Friedman,43,Female,Raised,Good,Rushed,Much,Yes
Essence Simpson,38,Female,Raised,Good,Normal,Much,Yes
Tripp Jackson,18,Male,Raised,Bad,Rushed,None,No
Camille Chase,34,Female,Normal,Good,Rushed,None,No
Precious Meza,26,Female,Normal,Good,Rushed,Little,No
Leilani Day,17,Male,Raised,Bad,Rushed,None,No
Valery Levine,27,Female,Normal,Bad,Slow,None,No
Jocelynn Saunders,26,Female,Normal,Bad,Rushed,None,No
Kamden Cobb,34,Male,Normal,Bad,Normal,Much,Yes
Alexia Hutchinson,18,Female,Raised,Bad,Rushed,None,No
Bo Sharp,40,Female,Normal,Good,Slow,Much,Yes
Abigayle Martinez,26,Female,Normal,Bad,Slow,Much,No
Zain Hopkins,49,Female,Raised,Good,Normal,Normal,Yes
Quinten Castillo,46,Male,Normal,Bad,Normal,Little,Yes
Summer Woodard,20,Female,Normal,Good,Normal,Much,Yes
Lyric Leonard,48,Female,Raised,Good,Rushed,Much,Yes
Jared Baldwin,35,Female,Normal,Normal,Normal,Much,Yes
Jerimiah Malone,28,Male,Raised,Good,Rushed,Much,No
Jennifer Stewart,29,Male,Normal,Good,Normal,Normal,Yes
Lindsey Hayden,23,Female,Raised,Bad,Rushed,None,No
Abril Khan,43,Male,Normal,Good,Normal,Much,Yes
Mikayla Olson,30,Female,Normal,Bad,Rushed,None,No
Osvaldo Durham,32,Female,Normal,Good,Normal,Much,Yes
Abbie Cochran,19,Female,Normal,Bad,Rushed,None,No
Karli Zimmerman,40,Female,Normal,Normal,Rushed,Little,Yes
Alec Calhoun,41,Female,Normal,Good,Normal,Much,Yes
Ashtyn Gaines,22,Female,Normal,Good,Normal,Much,Yes
Landon Mills,33,Female,Normal,Normal,Rushed,Much,No
Kaitlynn Soto,29,Male,Normal,Good,Normal,Normal,Yes
Mara Wilkinson,27,Female,Raised,Good,Normal,None,No
Alani Montgomery,37,Female,Raised,Normal,Normal,Little,Yes
Demetrius Gibbs,32,Male,Raised,Bad,Normal,None,No
Macie Shepard,31,Male,Normal,Good,Rushed,None,No
Mylie Pugh,21,Male,Normal,Good,Normal,Much,Yes
Belen Mejia,23,Male,Normal,Normal,Rushed,Little,No
Jose Fitzpatrick,36,Male,Normal,Normal,Normal,Much,Yes
Nayeli King,17,Female,Raised,Bad,Rushed,None,No
Iyana Combs,33,Male,Raised,Bad,Rushed,None,No
Alondra Willis,43,Male,Normal,Good,Normal,Little,Yes
Dorian Ferrell,26,Female,Raised,Good,Slow,Little,No
Angie Baker,35,Female,Normal,Good,Rushed,Much,Yes
Jack Farmer,33,Female,Raised,Good,Normal,Little,Yes
Allen Richmond,25,Female,Normal,Good,Slow,Much,Yes
Jamir Hunter,41,Male,Normal,Good,Normal,Much,Yes
Arianna Yu,30,Male,Normal,Bad,Rushed,None,No
Mila Fuller,24,Female,Normal,Bad,Rushed,Much,No
Samir Peck,42,Male,Normal,Good,Normal,Much,Yes
Zoey Benson,48,Male,Raised,Good,Normal,Much,Yes
Bentley Saunders,37,Female,Normal,Good,Normal,Much,Yes
Hayley Valdez,27,Female,Raised,Bad,Rushed,Little,No
Santos Dominguez,40,Female,Raised,Good,Normal,Much,Yes
Ashanti Brennan,30,Male,Normal,Bad,Slow,Much,Yes
Vance Moss,40,Female,Normal,Good,Rushed,Little,No
Augustus Baxter,34,Female,Raised,Good,Normal,Much,Yes
Natalie Young,48,Male,Normal,Good,Rushed,Much,Yes
Tucker Hogan,21,Female,Raised,Good,Rushed,None,No
Kathy George,25,Female,Normal,Normal,Normal,Much,Yes
Solomon Malone,32,Female,Raised,Bad,Rushed,Little,No
Arabella Horn,21,Female,Normal,Normal,Normal,Much,Yes
Dayami Hartman,33,Male,Raised,Good,Rushed,Much,Yes
Roman Barrett,27,Male,Normal,Good,Normal,Much,Yes
Frankie Delacruz,39,Female,Normal,Normal,Normal,Much,Yes
Camden Swanson,45,Female,Normal,Good,Normal,Little,Yes
Edwin Giles,34,Male,Raised,Bad,Rushed,Much,No
Sammy Robertson,31,Female,Raised,Bad,Rushed,None,No
America Foley,33,Female,Raised,Normal,Rushed,Little,No
Julien Beltran,30,Male,Raised,Bad,Normal,Much,Yes
Tyrese Cordova,18,Male,Raised,Bad,Rushed,Much,No
Aaliyah Khan,18,Male,Raised,Bad,Rushed,Much,No
Alayna Davies,48,Female,Normal,Good,Normal,Much,Yes
Gael Murphy,28,Male,Raised,Bad,Rushed,Little,No
Michael Howard,27,Male,Raised,Normal,Rushed,None,No
Kaley Pittman,28,Female,Normal,Good,Normal,Little,Yes
Madeleine Mitchell,42,Male,Normal,Bad,Rushed,None,No
Amaya May,28,Female,Raised,Bad,Rushed,None,No
Ari Ortiz,34,Female,Raised,Normal,Normal,Much,Yes
Mira Harrell,28,Male,Normal,Good,Normal,Much,Yes
Aaden Hanna,18,Male,Normal,Normal,Rushed,None,No
Sloane Hendrix,20,Female,Raised,Bad,Rushed,None,No
Kaylyn Obrien,30,Male,Raised,Bad,Rushed,None,No
Ellis Velazquez,23,Female,Normal,Good,Slow,Little,Yes
Cheyenne Oconnor,35,Male,Raised,Good,Normal,Much,Yes
Gaige Roberts,35,Male,Raised,Bad,Normal,None,No
Mariyah Yates,32,Male,Raised,Good,Rushed,Much,Yes
Gauge Calhoun,19,Male,Raised,Bad,Rushed,None,No
Adrian Boyd,37,Female,Normal,Good,Normal,Much,Yes
Chaya Whitney,27,Male,Normal,Good,Normal,Much,Yes
Arjun Reese,45,Female,Normal,Good,Normal,Much,Yes
Miriam Thornton,28,Male,Raised,Bad,Rushed,None,No
Eliana Hooper,49,Female,Raised,Good,Rushed,Much,Yes
Jeffery Rosario,45,Female,Normal,Good,Normal,Much,Yes
Macy Fowler,20,Male,Normal,Bad,Normal,None,No
Haiden Jackson,39,Female,Normal,Bad,Normal,Normal,Yes
Moses Dyer,29,Female,Raised,Good,Normal,Much,Yes
Kamryn Saunders,27,Female,Normal,Normal,Normal,None,No
Camille Welch,45,Male,Raised,Good,Normal,Much,Yes
Kylee Stevenson,34,Male,Normal,Good,Normal,Normal,Yes
Alyvia Key,26,Male,Raised,Bad,Rushed,None,No
Breanna Alvarez,46,Female,Normal,Normal,Normal,Much,Yes
Sandra Lloyd,46,Female,Normal,Normal,Normal,Much,Yes
Janiya Ayers,34,Female,Raised,Bad,Rushed,Much,No
Brenton Buckley,26,Female,Normal,Normal,Normal,None,No
Genevieve Mccall,39,Male,Normal,Good,Normal,Much,Yes
Lea Olson,28,Male,Raised,Bad,Slow,None,No
Lawrence Stewart,41,Female,Raised,Normal,Rushed,Much,No
Kelsie Mercado,21,Male,Raised,Good,Rushed,None,No
Izabella Harvey,26,Male,Raised,Bad,Slow,None,No
Mathias Zhang,37,Male,Raised,Bad,Rushed,None,No
Janet Webb,17,Male,Raised,Bad,Slow,None,No
Elyse Osborn,25,Male,Normal,Bad,Normal,None,No
Zaid Berry,47,Female,Raised,Good,Normal,Much,Yes
Beckham Floyd,21,Female,Normal,Bad,Normal,Much,No
Charlize Gentry,32,Female,Normal,Good,Normal,Much,Yes
Nora Mata,35,Male,Normal,Bad,Rushed,None,No
Hillary Villa,20,Female,Normal,Good,Slow,Normal,Yes
Joe Newton,48,Female,Normal,Bad,Normal,Much,Yes
Amya Parker,47,Female,Raised,Good,Normal,Much,Yes
Tiana Goodman,20,Male,Raised,Good,Rushed,None,No
Kaia Hoover,28,Female,Normal,Normal,Normal,Much,Yes
Shamar Lin,26,Female,Raised,Bad,Normal,None,No
Madyson Oneal,32,Male,Raised,Bad,Rushed,Much,No
Jaron Mcintyre,29,Male,Normal,Good,Normal,Much,Yes
Raina Hayden,34,Female,Raised,Bad,Normal,Much,Yes
Braydon Guerrero,35,Male,Raised,Good,Rushed,None,No
Kylan Middleton,24,Female,Raised,Bad,Normal,None,No
Cyrus Ross,35,Male,Raised,Bad,Rushed,None,No
Quinn Campos,34,Male,Normal,Bad,Rushed,None,No
Matthew Nunez,27,Female,Raised,Good,Rushed,Much,Yes
Mylee Gill,40,Male,Normal,Bad,Normal,Normal,Yes
Max Ponce,31,Female,Normal,Good,Normal,Much,Yes
Cruz Downs,28,Male,Raised,Good,Rushed,None,No
Caitlin Ford,19,Female,Normal,Normal,Rushed,None,No
Brennen Robinson,19,Female,Raised,Bad,Rushed,None,No
Jordon Moody,18,Male,Raised,Good,Rushed,None,No
Chana Avery,27,Female,Raised,Bad,Rushed,None,No
Thalia Collins,39,Male,Normal,Good,Normal,Much,Yes
Cassius Wheeler,27,Female,Raised,Bad,Rushed,None,No
Pierce Houston,26,Male,Raised,Normal,Rushed,None,No
Frankie Horton,25,Female,Normal,Normal,Normal,Much,Yes
Dillon Proctor,41,Male,Normal,Good,Normal,Much,Yes
Gabriela Morgan,35,Female,Normal,Normal,Slow,Little,Yes
Reilly Rios,21,Female,Normal,Good,Normal,Much,Yes
Dominique Swanson,44,Female,Raised,Bad,Slow,Normal,Yes
Richard Wong,21,Female,Raised,Bad,Slow,None,No
Kingston Bonilla,43,Female,Raised,Good,Normal,Little,Yes
Lillie Castaneda,50,Female,Normal,Bad,Rushed,None,No
Brennen Park,27,Female,Raised,Normal,Normal,None,No
Jalen Strong,26,Female,Raised,Good,Rushed,None,No
Jakob Herring,24,Female,Raised,Bad,Rushed,Much,No
Jamarion Tyler,49,Female,Normal,Bad,Slow,Much,Yes
Alijah Golden,34,Female,Raised,Good,Slow,Much,Yes
Kingston Moses,26,Female,Raised,Bad,Rushed,None,No
Josie Osborn,18,Male,Raised,Bad,Slow,None,No
Alfredo Alvarado,20,Female,Normal,Bad,Rushed,Little,No
Javion Mcmillan,41,Female,Raised,Normal,Normal,Much,Yes
Aldo Benson,18,Male,Normal,Normal,Rushed,None,No
Tyree Kramer,21,Male,Normal,Bad,Rushed,Much,No
Trenton Oconnor,29,Female,Normal,Bad,Rushed,None,No
Amare Weeks,33,Male,Normal,Good,Slow,Much,Yes
Alexia Peck,32,Male,Raised,Bad,Rushed,None,No
Jovanny Travis,47,Male,Raised,Good,Normal,Normal,Yes
Brandon Reed,32,Male,Normal,Normal,Rushed,Much,Yes
Jaslyn Cuevas,34,Male,Raised,Bad,Rushed,Much,No
Marin Pollard,27,Female,Raised,Good,Normal,Much,Yes
Shayla Mccormick,20,Male,Raised,Good,Normal,None,No
Howard Arnold,33,Female,Normal,Bad,Rushed,None,No
Solomon Warren,35,Male,Raised,Bad,Rushed,None,No
Skylar Rocha,28,Male,Normal,Normal,Normal,Normal,Yes
Allyson Dalton,37,Female,Normal,Good,Normal,Much,Yes
Nia Mercado,27,Female,Normal,Good,Rushed,Much,Yes
Reagan Lam,31,Male,Raised,Normal,Normal,Much,Yes
Mckinley Eaton,49,Female,Raised,Bad,Rushed,None,No
Emilee Mcclure,28,Male,Raised,Good,Normal,None,No
Andrea Haney,22,Female,Raised,Good,Rushed,None,No
Baylee Todd,26,Female,Normal,Good,Normal,Normal,Yes
Deven Ritter,33,Female,Normal,Bad,Slow,None,No
Miracle Novak,25,Female,Normal,Bad,Rushed,None,No
Tate Meyer,37,Female,Normal,Good,Normal,Much,Yes
Mara Pace,29,Male,Raised,Normal,Rushed,None,No
Gaige Wilson,26,Female,Normal,Good,Normal,None,No
Mareli Mcbride,34,Female,Raised,Bad,Rushed,Much,No
Estrella May,41,Female,Raised,Good,Normal,Much,Yes
Marlee Sharp,49,Male,Raised,Good,Normal,Much,Yes
Sheldon Leonard,25,Female,Normal,Good,Normal,Much,Yes
Ethen Frey,45,Male,Normal,Normal,Rushed,Much,Yes
Rayan Obrien,33,Male,Normal,Bad,Rushed,None,No
Gavyn Schmidt,45,Male,Normal,Normal,Normal,Much,Yes
Allan Blankenship,17,Female,Raised,Bad,Slow,Little,No
Leroy Cantrell,29,Male,Normal,Bad,Rushed,None,No
Chana Estes,22,Female,Normal,Bad,Rushed,None,No
Jerimiah Frank,34,Male,Raised,Bad,Slow,None,No
Hudson Arias,21,Male,Normal,Good,Slow,Much,Yes
Armando Salazar,32,Female,Normal,Good,Normal,Normal,Yes
Karlie Tran,28,Female,Raised,Normal,Rushed,Little,No
Deshawn Nichols,29,Male,Raised,Bad,Rushed,None,No
Scott Braun,45,Male,Raised,Good,Normal,Much,Yes
Jonathan Galloway,27,Female,Raised,Good,Rushed,None,No
Javon Arnold,23,Female,Normal,Good,Normal,Much,Yes
Jaylen Dunn,25,Female,Raised,Bad,Slow,Much,Yes
Jaida Walls,42,Male,Normal,Good,Slow,Much,Yes
Anabella Faulkner,26,Male,Raised,Bad,Rushed,None,No
Kendall Mcconnell,25,Female,Normal,Good,Rushed,Much,Yes
Erik Carr,30,Female,Normal,Bad,Rushed,None,No
Beckett Oliver,38,Female,Raised,Bad,Normal,Much,Yes
Jazmine Escobar,17,Male,Raised,Bad,Rushed,Much,Yes
Jordin Simmons,35,Female,Raised,Bad,Normal,Little,No
Sullivan Morse,42,Male,Normal,Good,Rushed,None,No
Alijah Beltran,32,Male,Raised,Good,Slow,Much,Yes
Kira Winters,31,Female,Normal,Good,Normal,Normal,Yes
Bailey Bell,17,Male,Raised,Good,Rushed,None,No
Billy Frazier,34,Female,Raised,Bad,Normal,None,No
Fernanda Caldwell,32,Female,Normal,Good,Rushed,Much,Yes
Clarence Bernard,25,Female,Normal,Good,Normal,Much,Yes
Morgan Pearson,30,Male,Normal,Good,Rushed,Little,Yes
Katelyn Reynolds,21,Male,Normal,Normal,Rushed,Much,Yes
Gabriela Chan,35,Female,Raised,Bad,Rushed,None,No
Alani Farrell,25,Female,Raised,Normal,Rushed,None,No
Sienna Pacheco,33,Male,Normal,Good,Rushed,Much,Yes
Kiera Blake,22,Male,Normal,Bad,Rushed,Little,No
Jaxon Gonzales,23,Male,Raised,Bad,Slow,None,No
Dominic Robinson,22,Male,Raised,Bad,Rushed,None,No
Kaliyah Harrington,36,Female,Raised,Normal,Normal,Much,Yes
Jared Nash,34,Male,Normal,Bad,Slow,None,No
Lincoln Brooks,37,Male,Normal,Good,Slow,Much,Yes
Jairo Jensen,22,Female,Normal,Good,Normal,Much,Yes
Jayleen Holder,27,Male,Normal,Normal,Normal,Much,Yes
Blake Larson,33,Female,Raised,Normal,Rushed,None,No
Carmelo King,18,Male,Raised,Good,Normal,Little,Yes
Abby Nielsen,39,Male,Raised,Bad,Normal,None,No
Sawyer Matthews,20,Male,Raised,Bad,Slow,None,No
Corbin Cooley,20,Male,Normal,Bad,Rushed,None,No
Alana Adams,46,Female,Normal,Good,Normal,Little,Yes
Nyasia Booker,21,Female,Raised,Normal,Rushed,None,No
Graham Dickerson,34,Male,Normal,Good,Normal,Much,Yes
Case Yoder,34,Female,Raised,Bad,Rushed,None,No
Cynthia Humphrey,28,Female,Normal,Bad,Normal,Much,Yes
Jonah Walls,33,Female,Normal,Bad,Normal,Much,Yes
Lesly Manning,30,Female,Normal,Bad,Rushed,None,No
Susan Miles,31,Male,Raised,Normal,Rushed,None,No
Alexis Chandler,36,Female,Raised,Good,Slow,Little,Yes
Aarav Aguilar,25,Male,Raised,Bad,Rushed,Little,No
Joe Nguyen,35,Male,Normal,Good,Normal,Much,Yes
Levi Cline,26,Female,Raised,Bad,Slow,None,No
Kolton Shea,21,Male,Raised,Bad,Rushed,None,No
Rohan Hester,38,Male,Raised,Bad,Rushed,None,No
Barrett Doyle,35,Female,Normal,Good,Slow,Normal,Yes
Marlon Hardin,20,Male,Raised,Bad,Rushed,None,No
Essence Tate,29,Male,Raised,Bad,Rushed,Much,No
Rhianna Wallace,26,Female,Raised,Bad,Normal,Much,Yes
Yazmin Ho,21,Male,Raised,Bad,Rushed,None,No
Sloane Nolan,30,Male,Normal,Good,Normal,Much,Yes
Peyton Bryant,34,Female,Normal,Good,Rushed,Much,Yes
Ashlyn Finley,26,Male,Normal,Bad,Slow,None,No
Alijah Adkins,27,Female,Raised,Bad,Rushed,None,No
Brendon Davis,47,Male,Raised,Bad,Rushed,None,No
Deegan Graves,18,Male,Raised,Normal,Rushed,None,No
Gavin Faulkner,34,Male,Normal,Good,Normal,Much,Yes
Judah Ward,32,Female,Raised,Bad,Rushed,None,No
Anastasia Delacruz,43,Female,Normal,Good,Slow,Much,Yes
Nathanial Underwood,24,Female,Normal,Good,Normal,Little,Yes
Kadyn Duran,34,Female,Normal,Normal,Normal,Much,Yes
Yuliana Hebert,24,Female,Raised,Bad,Rushed,None,No
Kellen Lloyd,31,Female,Normal,Good,Slow,None,No
Diego Li,19,Female,Raised,Bad,Rushed,None,No
Jairo Webb,44,Female,Normal,Good,Rushed,Much,Yes
Marina Moran,28,Female,Normal,Bad,Rushed,None,No
Jordin Pennington,42,Male,Normal,Good,Normal,Much,Yes
Samantha Hernandez,46,Male,Normal,Good,Normal,Much,Yes
Laci Le,35,Female,Raised,Good,Slow,None,No
Marcos Atkins,37,Male,Normal,Normal,Normal,Much,Yes
Lauryn Cuevas,38,Female,Normal,Good,Rushed,Much,Yes
Gavin Martin,45,Male,Raised,Good,Rushed,None,No
Leroy Hester,33,Female,Normal,Normal,Normal,Little,Yes
Mary Burke,25,Male,Raised,Bad,Rushed,None,No
Kaliyah Cardenas,29,Female,Normal,Normal,Rushed,None,No
Maleah Hubbard,29,Male,Raised,Good,Normal,Much,Yes
Marcos Lloyd,26,Female,Normal,Good,Normal,Much,Yes
Kylee Glenn,43,Female,Normal,Good,Normal,Much,Yes
Vivian Freeman,45,Female,Raised,Normal,Slow,Much,Yes
Marco Cline,29,Female,Raised,Bad,Rushed,None,No
June Hull,20,Female,Normal,Normal,Rushed,None,No
Dane Wagner,21,Male,Normal,Bad,Rushed,None,No
Devon Olsen,25,Female,Raised,Good,Rushed,None,No
Darion Parsons,17,Female,Normal,Bad,Rushed,None,No
